Model,Repeat,MSPE,RMSE,MAE,R2
OLS_wendland,1,11434.009765625,106.92992923230146,14.83938980102539,-93.63195037841797
OLS_sphere,1,55.636390686035156,7.458980539325408,3.202444076538086,0.5395333766937256
DeepKriging_wendland,1,94.50776672363281,9.721510516562374,5.738083839416504,0.21781998872756958
DeepKriging_mrts,1,137.11021423339844,11.70940708291408,3.764101982116699,-0.1347731351852417
DeepKriging_sphere,1,57.05821990966797,7.553689158925456,2.4504542350769043,0.5277658104896545
DeepKriging_sphere_Huber,1,48.04107666015625,6.931167048928791,1.3273099660873413,0.6023948788642883
UniversalKriging,1,52.63360028110931,7.254901810576716,2.6192092457093077,0.5643855499684275
OLS_wendland,1,11290.5,106.25676449054902,14.983518600463867,-87.34193420410156
OLS_sphere,1,54.09169387817383,7.354705560263703,3.1313860416412354,0.576762318611145
DeepKriging_wendland,1,99.20248413085938,9.960044383980394,5.8633341789245605,0.22379529476165771
DeepKriging_mrts,1,60.101234436035156,7.75249859310114,3.761817455291748,0.5297409892082214
DeepKriging_sphere,1,61.11210632324219,7.817423253428344,2.2646918296813965,0.5218315124511719
DeepKriging_sphere_Huber,1,47.98279571533203,6.926961506702057,1.4860665798187256,0.624561071395874
UniversalKriging,1,51.90044579400074,7.2041964016815045,2.597656481952814,0.593907651231321
OLS_wendland,2,44281.69140625,210.43215392674665,21.172292709350586,-255.93478393554688
OLS_sphere,2,82.3411865234375,9.074204456779531,3.5110740661621094,0.5222333669662476
DeepKriging_wendland,2,138.32728576660156,11.761262082217264,5.859182834625244,0.19738632440567017
DeepKriging_mrts,2,106.0263442993164,10.296909453778664,3.9192142486572266,0.38480544090270996
DeepKriging_sphere,2,104.43537139892578,10.219362573024101,3.062854051589966,0.3940366506576538
DeepKriging_sphere_Huber,2,79.44552612304688,8.91322198326996,1.6625746488571167,0.5390347838401794
UniversalKriging,2,84.725769891873,9.204660226856449,3.2343686970258942,0.5083972764698471
OLS_wendland,2,37516.390625,193.69148309876715,20.216636657714844,-213.22222900390625
OLS_sphere,2,80.78840637207031,8.988237111473547,3.5334246158599854,0.5386903285980225
DeepKriging_wendland,2,137.79824829101562,11.738749860654481,5.869849681854248,0.21315860748291016
DeepKriging_mrts,2,98.84378051757812,9.942020947351606,3.712949275970459,0.4355924129486084
